id,gameId,userId,proofUrl,status,approvedBy,approvedAt,createdAt,updatedAt
30001,180001,1860001,/manus-storage/direct/1860001/1783105921517_3a99947c.pdf,pending,,,2026-07-03 19:12:02,2026-07-03 19:12:02
90001,240001,1860001,/manus-storage/direct/1860001/1783275796750_0447169d.jpg,pending,,,2026-07-05 18:23:17,2026-07-05 18:23:17
120001,270001,30001,/manus-storage/direct/30001/1783302577994_1b83b602.jpg,pending,,,2026-07-06 01:49:38,2026-07-06 01:49:38
150001,270001,4230001,/manus-storage/direct/4230001/1783302751226_2c6d15a1.jpg,pending,,,2026-07-06 01:52:32,2026-07-06 01:52:32
210001,300001,6390001,/manus-storage/direct/6390001/1783573901270_a17d2490.jpeg,approved,30001,2026-07-09 05:39:50,2026-07-09 05:11:42,2026-07-09 05:39:49
240001,360001,30001,/manus-storage/direct/30001/1784063323418_3cd0cf73.jpg,approved,30001,2026-07-14 21:14:18,2026-07-14 21:08:43,2026-07-14 21:14:17
