id,userId,friendId,status,createdAt,updatedAt
1,30001,1860001,accepted,2026-07-10 20:55:48,2026-07-10 20:55:48
2,1860001,30001,accepted,2026-07-10 20:55:48,2026-07-10 20:55:48
30001,30001,30002,accepted,2026-07-11 21:18:02,2026-07-11 21:18:02
30002,30001,30003,accepted,2026-07-11 21:18:02,2026-07-11 21:18:02
30003,30001,30004,accepted,2026-07-11 21:18:02,2026-07-11 21:18:02
30004,30001,30005,accepted,2026-07-11 21:18:02,2026-07-11 21:18:02
30005,30001,30006,accepted,2026-07-11 21:18:02,2026-07-11 21:18:02
